Epoch 179 | train_loss=0.2222 train_acc=0.9646 | val_loss=0.2284 val_acc=0.9493
Epoch 180 | train_loss=0.2216 train_acc=0.9646 | val_loss=0.2280 val_acc=0.9493
Epoch 181 | train_loss=0.2210 train_acc=0.9646 | val_loss=0.2274 val_acc=0.9521
Epoch 182 | train_loss=0.2204 train_acc=0.9646 | val_loss=0.2270 val_acc=0.9493
Epoch 183 | train_loss=0.2198 train_acc=0.9646 | val_loss=0.2265 val_acc=0.9493
Epoch 184 | train_loss=0.2192 train_acc=0.9646 | val_loss=0.2260 val_acc=0.9493
Epoch 185 | train_loss=0.2186 train_acc=0.9646 | val_loss=0.2255 val_acc=0.9493
Epoch 186 | train_loss=0.2181 train_acc=0.9646 | val_loss=0.2250 val_acc=0.9493
Epoch 187 | train_loss=0.2175 train_acc=0.9646 | val_loss=0.2245 val_acc=0.9493
Epoch 188 | train_loss=0.2169 train_acc=0.9646 | val_loss=0.2240 val_acc=0.9493
Epoch 189 | train_loss=0.2164 train_acc=0.9646 | val_loss=0.2235 val_acc=0.9493
Epoch 190 | train_loss=0.2158 train_acc=0.9646 | val_loss=0.2231 val_acc=0.9493
Epoch 191 | train_loss=0.2153 train_acc=0.9646 | val_loss=0.2226 val_acc=0.9493
Epoch 192 | train_loss=0.2147 train_acc=0.9646 | val_loss=0.2221 val_acc=0.9521
Epoch 193 | train_loss=0.2142 train_acc=0.9646 | val_loss=0.2216 val_acc=0.9521
Epoch 194 | train_loss=0.2137 train_acc=0.9646 | val_loss=0.2212 val_acc=0.9493
Epoch 195 | train_loss=0.2131 train_acc=0.9646 | val_loss=0.2208 val_acc=0.9493
Epoch 196 | train_loss=0.2126 train_acc=0.9646 | val_loss=0.2204 val_acc=0.9493
Epoch 197 | train_loss=0.2121 train_acc=0.9646 | val_loss=0.2199 val_acc=0.9521
Epoch 198 | train_loss=0.2116 train_acc=0.9646 | val_loss=0.2195 val_acc=0.9521
Epoch 199 | train_loss=0.2111 train_acc=0.9646 | val_loss=0.2190 val_acc=0.9493
Epoch 200 | train_loss=0.2106 train_acc=0.9646 | val_loss=0.2187 val_acc=0.9521

Final Results:
Train Accuracy: 0.9646182495344506
Validation Accuracy: 0.952112676056338
Test Accuracy: 0.9402173913043478
Test Cross-Entropy: 0.2694187162736296
